City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed,Description
59,Georgetown,40,MY,2022-07-27 19:17:39,88,5.4112,100.3354,80.53,3.44,scattered clouds
60,Turukhansk,92,RU,2022-07-27 19:20:04,59,65.8167,87.9833,62.49,5.68,overcast clouds
61,Walvis Bay,29,NA,2022-07-27 19:20:05,87,-22.9575,14.5053,55.09,2.3,scattered clouds
62,Toktogul,3,KG,2022-07-27 19:20:05,36,41.8708,72.9402,78.6,1.03,clear sky
63,Agadir,0,MA,2022-07-27 19:20:06,40,30.4202,-9.5982,81.05,5.79,clear sky
64,Port Alfred,99,ZA,2022-07-27 19:20:06,70,-33.5906,26.891,64.06,4.97,overcast clouds
65,Waipawa,100,NZ,2022-07-27 19:20:07,90,-41.4122,175.5153,47.93,6.44,light rain
66,Hilo,0,US,2022-07-27 19:19:53,82,19.7297,-155.09,88.29,10.36,clear sky
67,Tumbagaan,80,PH,2022-07-27 19:20:08,79,5.3656,120.3139,80.26,1.95,broken clouds
68,Albury,100,AU,2022-07-27 19:17:25,100,-36.0833,146.9167,48.25,4.0,light rain
69,Cape Town,0,ZA,2022-07-27 19:16:15,73,-33.9258,18.4232,60.91,10.0,clear sky
70,Aksu,57,CN,2022-07-27 19:20:09,21,41.1231,80.2644,88.27,7.99,broken clouds
71,Ponta Do Sol,0,PT,2022-07-27 19:20:09,77,32.6667,-17.1,75.7,6.24,clear sky
72,Dingle,94,PH,2022-07-27 19:20:10,88,10.9995,122.6711,75.99,2.8,overcast clouds
73,San Jose,20,US,2022-07-27 19:20:10,54,37.3394,-121.895,86.25,3.44,smoke
74,Ribeira Grande,75,PT,2022-07-27 19:20:11,83,38.5167,-28.7,77.4,13.8,broken clouds
75,Serenje,6,ZM,2022-07-27 19:20:11,61,-13.2325,30.2352,54.3,5.95,clear sky
76,Bredasdorp,0,ZA,2022-07-27 19:20:12,91,-34.5322,20.0403,51.01,6.96,clear sky
77,Ponta Delgada,20,PT,2022-07-27 19:17:43,83,37.7333,-25.6667,75.92,17.27,few clouds
78,Plettenberg Bay,0,ZA,2022-07-27 19:20:13,79,-34.0527,23.3716,56.73,5.41,clear sky
79,Sept-Iles,75,CA,2022-07-27 19:20:13,74,50.2001,-66.3821,68.0,13.8,broken clouds
80,Dikson,94,RU,2022-07-27 19:20:14,94,73.5069,80.5464,41.49,14.0,overcast clouds
81,Manyana,65,BW,2022-07-27 19:20:14,30,-23.4,21.7167,64.13,8.79,broken clouds
82,Bawku,9,GH,2022-07-27 19:20:15,60,11.0616,-0.2417,83.35,7.94,clear sky
83,Guilin,100,CN,2022-07-27 19:20:15,80,25.2819,110.2864,77.11,0.98,overcast clouds
84,Pitimbu,10,BR,2022-07-27 19:20:16,72,-7.4706,-34.8086,79.39,12.19,clear sky
85,Alofi,5,NU,2022-07-27 19:20:16,100,-19.0595,-169.9187,69.69,4.61,clear sky
86,Port Elizabeth,0,ZA,2022-07-27 19:17:40,89,-33.918,25.5701,58.32,6.91,clear sky
87,Saskylakh,99,RU,2022-07-27 19:20:17,93,71.9167,114.0833,63.54,13.58,light rain
88,Tuatapere,100,NZ,2022-07-27 19:20:17,95,-46.1333,167.6833,43.93,1.63,overcast clouds
89,Brae,35,GB,2022-07-27 19:20:18,75,60.3964,-1.353,55.29,6.89,scattered clouds
90,Ancud,14,CL,2022-07-27 19:18:27,76,-41.8697,-73.8203,52.23,2.77,few clouds
91,Akureyri,75,IS,2022-07-27 19:20:19,59,65.6835,-18.0878,64.33,19.57,broken clouds
92,Ondjiva,35,AO,2022-07-27 19:20:19,27,-17.0667,15.7333,65.66,2.48,scattered clouds
93,East London,100,ZA,2022-07-27 19:20:19,73,-33.0153,27.9116,65.26,5.03,overcast clouds
94,Besuki,40,ID,2022-07-27 19:20:20,81,-7.7338,113.6979,77.16,2.8,scattered clouds
95,Qaanaaq,95,GL,2022-07-27 19:20:20,79,77.484,-69.3632,40.57,7.94,overcast clouds
96,Tondano,100,ID,2022-07-27 19:20:21,97,1.3038,124.9112,68.09,2.26,overcast clouds
97,Talnakh,88,RU,2022-07-27 19:20:22,54,69.4865,88.3972,58.21,2.82,overcast clouds
98,Pacanga,30,PE,2022-07-27 19:20:22,60,-7.1667,-79.5,73.87,12.93,scattered clouds
99,Lavrentiya,100,RU,2022-07-27 19:20:23,81,65.5833,-171.0,42.03,7.81,overcast clouds
100,Pevek,100,RU,2022-07-27 19:20:23,91,69.7008,170.3133,34.47,4.07,overcast clouds
101,Bambous Virieux,75,MU,2022-07-27 19:20:24,88,-20.3428,57.7575,71.22,11.5,light rain
102,Khatanga,100,RU,2022-07-27 19:20:24,71,71.9667,102.5,58.86,2.91,overcast clouds
103,Kruisfontein,3,ZA,2022-07-27 19:20:24,90,-34.0033,24.7314,50.88,2.68,clear sky
104,Mokhsogollokh,12,RU,2022-07-27 19:20:25,73,61.4681,128.9203,62.06,0.27,few clouds
105,Porangatu,0,BR,2022-07-27 19:20:25,16,-13.4408,-49.1486,91.53,3.98,clear sky
106,Vaitape,16,PF,2022-07-27 19:20:26,76,-16.5167,-151.75,78.26,21.12,light rain
107,Kodiak,0,US,2022-07-27 19:20:27,55,57.79,-152.4072,60.31,9.22,clear sky
108,Kloulklubed,94,PW,2022-07-27 19:20:27,72,7.0419,134.2556,83.71,7.87,overcast clouds
109,Guerrero Negro,7,MX,2022-07-27 19:20:28,53,27.9769,-114.0611,78.98,10.2,clear sky
110,Torbay,75,CA,2022-07-27 19:19:15,83,47.6666,-52.7314,74.17,13.8,broken clouds
111,Sinnamary,83,GF,2022-07-27 19:20:28,77,5.3833,-52.95,82.63,6.22,broken clouds
112,Belaya Kholunitsa,0,RU,2022-07-27 19:20:29,77,58.84,50.8528,56.86,3.85,clear sky
113,Bethel,40,US,2022-07-27 19:20:29,48,41.3712,-73.414,87.21,10.36,scattered clouds
114,San Juan,79,AR,2022-07-27 19:19:45,62,-31.5375,-68.5364,55.0,14.99,broken clouds
115,Pochutla,100,MX,2022-07-27 19:20:30,77,15.7432,-96.4661,85.82,6.96,overcast clouds
116,Graaff-Reinet,15,ZA,2022-07-27 19:20:30,84,-32.2522,24.5308,49.93,3.31,few clouds
117,Komsomolskiy,9,UZ,2022-07-27 19:20:31,42,40.4272,71.7189,83.12,4.61,clear sky
118,Roald,75,NO,2022-07-27 19:20:31,82,62.5833,6.1333,55.9,6.91,broken clouds
119,Okha,13,RU,2022-07-27 19:20:32,93,53.5739,142.9478,52.11,7.94,few clouds
120,Devonport,55,AU,2022-07-27 19:20:32,65,-41.1667,146.35,45.01,9.75,broken clouds
121,Sabya,96,SA,2022-07-27 19:20:33,58,17.1495,42.6254,87.42,5.55,overcast clouds
122,Broome,40,US,2022-07-27 19:20:34,50,42.2506,-75.833,85.08,8.05,scattered clouds
123,Isangel,100,VU,2022-07-27 19:20:34,94,-19.55,169.2667,69.91,4.61,overcast clouds
124,Oistins,40,BB,2022-07-27 19:20:34,62,13.0667,-59.5333,87.89,20.71,scattered clouds
125,College,100,US,2022-07-27 19:20:35,85,64.8569,-147.8028,54.07,6.91,light rain
126,Saldanha,0,ZA,2022-07-27 19:20:35,78,-33.0117,17.9442,50.05,7.0,clear sky
127,Rocha,93,UY,2022-07-27 19:20:36,76,-34.4833,-54.3333,71.19,7.43,overcast clouds
128,Ajdabiya,0,LY,2022-07-27 19:20:36,68,30.7554,20.2263,80.73,15.5,clear sky
129,Gimli,100,CA,2022-07-27 19:20:37,80,50.6336,-96.9907,60.67,17.11,overcast clouds
130,Ouidah,100,BJ,2022-07-27 19:20:38,83,6.3631,2.0851,78.66,15.84,overcast clouds
131,Deputatskiy,100,RU,2022-07-27 19:20:38,59,69.3,139.9,48.25,3.42,overcast clouds
